Epoch (1/10) | Train MSE: 0.979626
Epoch (1/10) | Val MSE: 0.967331
Epoch (2/10) | Train MSE: 0.969445
Epoch (2/10) | Val MSE: 0.962042
Epoch (3/10) | Train MSE: 0.953394
Epoch (3/10) | Val MSE: 0.945912
Epoch (4/10) | Train MSE: 0.932809
Epoch (4/10) | Val MSE: 0.944028
Epoch (5/10) | Train MSE: 0.915729
Epoch (5/10) | Val MSE: 0.937845
Epoch (6/10) | Train MSE: 0.899065
Epoch (6/10) | Val MSE: 0.919050
Epoch (7/10) | Train MSE: 0.887986
Epoch (7/10) | Val MSE: 0.916147
Epoch (8/10) | Train MSE: 0.875651
Epoch (8/10) | Val MSE: 0.911977
Epoch (9/10) | Train MSE: 0.867024
Epoch (9/10) | Val MSE: 0.895034
Epoch (10/10) | Train MSE: 0.857672
Epoch (10/10) | Val MSE: 0.895447
